run_dir,metrics_path,metrics_sha256,name,method,n,failed_outputs,model,reasoning_effort,temperature,stage_models,provider,endpoint,workers,max_output_tokens,max_semantic_attempts,max_http_attempts,legacy_max_retries,timeout_seconds,protocol,semantic_parent,mechanism,cohort,cohort_sha256,dataset_sha256,recorded_at,date_source,scoring_or_api_seconds,csv_verified,config_sources,scoring_config,environment_metrics,transport,method_family,execution_backend,step_exact,step_exact_denominator,step_exact_pct,step_module_exact,step_module_exact_denominator,step_module_exact_pct,all_correct,all_correct_denominator,all_correct_pct,case_set_sha256,per_example_sha256,case_count_csv,environment_counts,group,evidence_files,fresh_end_to_end,status,eligible,notes,run_kind,id
output/agenterrorbench-gpt-4o-smoke,output/agenterrorbench-gpt-4o-smoke/metrics.json,f692c99a628b56a701c6dc687cdc7e971d49d1665db16024e2d133e18a85bc2c,gpt-4o-smoke / direct,direct,1,1,gpt-4o,,0.0,{},openai-compatible,https://api.sophnet.com/v1/chat/completions,1,,,,,300.0,agenterrorbench-direct-v1,,agenterrorbench-direct-v1,explicit_subset,,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,2026-07-23T22:57:03+08:00,metrics.run.started_at (API run / imported-prediction scoring start),20.800593,True,{},"{""model"": ""gpt-4o"", ""temperature"": 0.0, ""provider"": ""openai-compatible"", ""endpoint"": ""https://api.sophnet.com/v1/chat/completions"", ""timeout"": 300.0, ""workers"": 1, ""prompt_versions"": {""direct"": ""agenterrorbench-direct-v1"", ""two_stage"": ""agentdebug-two-stage-v1""}, ""selection"": {""trajectory_ids"": [""GPT-4o_004_memory_b000_t00_e04-5e8c1dcf""], ""limit"": null, ""cohort"": ""explicit_subset""}}","{""gaia"": {""step_exact"": 0, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 1}}",LLM API,LLM API,LLM API,0,1,0.0,0,1,0.0,0,1,0.0,7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1,9e56c14a3fc1b94f3c5a2c8200fdbea03911c4889e860f4c58515e452de8f9c8,1,"{""gaia"": 1}",Small diagnostics / 1,"[""output/agenterrorbench-gpt-4o-smoke/metrics.json"", ""output/agenterrorbench-gpt-4o-smoke/per_example.csv"", ""output/agenterrorbench-gpt-4o-smoke/report.md""]",True,scored_failures_zero,True,小样本/诊断；不代表完整GAIA-50；失败输出保留在完整计分分母并按零分计；不是删掉失败后的成功子集,scored_run,R001
output/agenterrorbench-gpt-4o-smoke,output/agenterrorbench-gpt-4o-smoke/metrics.json,f692c99a628b56a701c6dc687cdc7e971d49d1665db16024e2d133e18a85bc2c,gpt-4o-smoke / two_stage,two_stage,1,0,gpt-4o,,0.0,{},openai-compatible,https://api.sophnet.com/v1/chat/completions,1,,,,,300.0,agentdebug-two-stage-v1,,agentdebug-two-stage-v1,explicit_subset,,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,2026-07-23T22:57:03+08:00,metrics.run.started_at (API run / imported-prediction scoring start),20.800593,True,{},"{""model"": ""gpt-4o"", ""temperature"": 0.0, ""provider"": ""openai-compatible"", ""endpoint"": ""https://api.sophnet.com/v1/chat/completions"", ""timeout"": 300.0, ""workers"": 1, ""prompt_versions"": {""direct"": ""agenterrorbench-direct-v1"", ""two_stage"": ""agentdebug-two-stage-v1""}, ""selection"": {""trajectory_ids"": [""GPT-4o_004_memory_b000_t00_e04-5e8c1dcf""], ""limit"": null, ""cohort"": ""explicit_subset""}}","{""gaia"": {""step_exact"": 1, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 1}}",LLM API,LLM API,LLM API,1,1,100.0,0,1,0.0,0,1,0.0,7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1,9e56c14a3fc1b94f3c5a2c8200fdbea03911c4889e860f4c58515e452de8f9c8,1,"{""gaia"": 1}",Small diagnostics / 1,"[""output/agenterrorbench-gpt-4o-smoke/metrics.json"", ""output/agenterrorbench-gpt-4o-smoke/per_example.csv"", ""output/agenterrorbench-gpt-4o-smoke/report.md""]",True,complete_scored,True,小样本/诊断；不代表完整GAIA-50,scored_run,R002
output/agenterrorbench-gpt-4o-smoke-v2,output/agenterrorbench-gpt-4o-smoke-v2/metrics.json,4e15767c26359353d6c530aa2ca03103831dfed386530a72febf3e845431dc59,gpt-4o-smoke-v2 / direct,direct,1,1,gpt-4o,,0.0,{},openai-compatible,https://api.sophnet.com/v1/chat/completions,1,,,,5,300.0,agenterrorbench-direct-v2-lossless-string-table,,agenterrorbench-direct-v2-lossless-string-table,explicit_subset,,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,2026-07-23T23:09:11+08:00,metrics.run.started_at (API run / imported-prediction scoring start),17.362464,True,{},"{""model"": ""gpt-4o"", ""temperature"": 0.0, ""provider"": ""openai-compatible"", ""endpoint"": ""https://api.sophnet.com/v1/chat/completions"", ""timeout"": 300.0, ""max_retries"": 5, ""workers"": 1, ""prompt_versions"": {""direct"": ""agenterrorbench-direct-v2-lossless-string-table"", ""two_stage"": ""agentdebug-two-stage-v2-lossless-string-table""}, ""selection"": {""trajectory_ids"": [""GPT-4o_004_memory_b000_t00_e04-5e8c1dcf""], ""limit"": null, ""cohort"": ""explicit_subset""}}","{""gaia"": {""step_exact"": 0, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 1}}",LLM API,LLM API,LLM API,0,1,0.0,0,1,0.0,0,1,0.0,7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1,deecde9d0053efa1df22d7353cfc8cd19e63d93ff220218ee0ef4746a358e4ff,1,"{""gaia"": 1}",Small diagnostics / 1,"[""output/agenterrorbench-gpt-4o-smoke-v2/metrics.json"", ""output/agenterrorbench-gpt-4o-smoke-v2/per_example.csv"", ""output/agenterrorbench-gpt-4o-smoke-v2/report.md""]",True,scored_failures_zero,True,小样本/诊断；不代表完整GAIA-50；失败输出保留在完整计分分母并按零分计；不是删掉失败后的成功子集,scored_run,R003
output/agenterrorbench-gpt-4o-smoke-v2,output/agenterrorbench-gpt-4o-smoke-v2/metrics.json,4e15767c26359353d6c530aa2ca03103831dfed386530a72febf3e845431dc59,gpt-4o-smoke-v2 / two_stage,two_stage,1,1,gpt-4o,,0.0,{},openai-compatible,https://api.sophnet.com/v1/chat/completions,1,,,,5,300.0,agentdebug-two-stage-v2-lossless-string-table,,agentdebug-two-stage-v2-lossless-string-table,explicit_subset,,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,2026-07-23T23:09:11+08:00,metrics.run.started_at (API run / imported-prediction scoring start),17.362464,True,{},"{""model"": ""gpt-4o"", ""temperature"": 0.0, ""provider"": ""openai-compatible"", ""endpoint"": ""https://api.sophnet.com/v1/chat/completions"", ""timeout"": 300.0, ""max_retries"": 5, ""workers"": 1, ""prompt_versions"": {""direct"": ""agenterrorbench-direct-v2-lossless-string-table"", ""two_stage"": ""agentdebug-two-stage-v2-lossless-string-table""}, ""selection"": {""trajectory_ids"": [""GPT-4o_004_memory_b000_t00_e04-5e8c1dcf""], ""limit"": null, ""cohort"": ""explicit_subset""}}","{""gaia"": {""step_exact"": 0, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 1}}",LLM API,LLM API,LLM API,0,1,0.0,0,1,0.0,0,1,0.0,7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1,deecde9d0053efa1df22d7353cfc8cd19e63d93ff220218ee0ef4746a358e4ff,1,"{""gaia"": 1}",Small diagnostics / 1,"[""output/agenterrorbench-gpt-4o-smoke-v2/metrics.json"", ""output/agenterrorbench-gpt-4o-smoke-v2/per_example.csv"", ""output/agenterrorbench-gpt-4o-smoke-v2/report.md""]",True,scored_failures_zero,True,小样本/诊断；不代表完整GAIA-50；失败输出保留在完整计分分母并按零分计；不是删掉失败后的成功子集,scored_run,R004
output/agenterrorbench-gpt-4o-v2,output/agenterrorbench-gpt-4o-v2/metrics.json,6e97e39897cb5b1dedc55e97ab22021122daf70b5f2bbe65a61c6d09996e379a,gpt-4o-v2 / direct,direct,200,177,gpt-4o,,0.0,{},openai-compatible,https://api.sophnet.com/v1/chat/completions,1,,,,5,300.0,agenterrorbench-direct-v2-lossless-string-table,,agenterrorbench-direct-v2-lossless-string-table,complete_available_release,,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,2026-07-23T23:12:00+08:00,metrics.run.started_at (API run / imported-prediction scoring start),2667.643764,True,{},"{""model"": ""gpt-4o"", ""temperature"": 0.0, ""provider"": ""openai-compatible"", ""endpoint"": ""https://api.sophnet.com/v1/chat/completions"", ""timeout"": 300.0, ""max_retries"": 5, ""workers"": 1, ""prompt_versions"": {""direct"": ""agenterrorbench-direct-v2-lossless-string-table"", ""two_stage"": ""agentdebug-two-stage-v2-lossless-string-table""}, ""selection"": {""trajectory_ids"": [], ""limit"": null, ""cohort"": ""complete_available_release""}}","{""alfworld"": {""step_exact"": 0, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 100}, ""webshop"": {""step_exact"": 0, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 50}, ""gaia"": {""step_exact"": 2, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 50}}",LLM API,LLM API,LLM API,2,200,1.0,0,200,0.0,0,170,0.0,84d2ecd29f6f3200b9f208f7abc5a70e6940f77eff400137d0260714e6f33813,d66b744273408ac4b6b3df31ea613228a6f695d5efeef2b3dd08605725fa2822,200,"{""alfworld"": 100, ""webshop"": 50, ""gaia"": 50}",Full / 200,"[""output/agenterrorbench-gpt-4o-v2/metrics.json"", ""output/agenterrorbench-gpt-4o-v2/per_example.csv"", ""output/agenterrorbench-gpt-4o-v2/report.md""]",True,scored_failures_zero,True,失败输出保留在完整计分分母并按零分计；不是删掉失败后的成功子集,scored_run,R005
output/agenterrorbench-gpt-4o-v2,output/agenterrorbench-gpt-4o-v2/metrics.json,6e97e39897cb5b1dedc55e97ab22021122daf70b5f2bbe65a61c6d09996e379a,gpt-4o-v2 / two_stage,two_stage,200,185,gpt-4o,,0.0,{},openai-compatible,https://api.sophnet.com/v1/chat/completions,1,,,,5,300.0,agentdebug-two-stage-v2-lossless-string-table,,agentdebug-two-stage-v2-lossless-string-table,complete_available_release,,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,2026-07-23T23:12:00+08:00,metrics.run.started_at (API run / imported-prediction scoring start),2667.643764,True,{},"{""model"": ""gpt-4o"", ""temperature"": 0.0, ""provider"": ""openai-compatible"", ""endpoint"": ""https://api.sophnet.com/v1/chat/completions"", ""timeout"": 300.0, ""max_retries"": 5, ""workers"": 1, ""prompt_versions"": {""direct"": ""agenterrorbench-direct-v2-lossless-string-table"", ""two_stage"": ""agentdebug-two-stage-v2-lossless-string-table""}, ""selection"": {""trajectory_ids"": [], ""limit"": null, ""cohort"": ""complete_available_release""}}","{""alfworld"": {""step_exact"": 0, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 100}, ""webshop"": {""step_exact"": 1, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 50}, ""gaia"": {""step_exact"": 2, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 50}}",LLM API,LLM API,LLM API,3,200,1.5,0,200,0.0,0,170,0.0,84d2ecd29f6f3200b9f208f7abc5a70e6940f77eff400137d0260714e6f33813,d66b744273408ac4b6b3df31ea613228a6f695d5efeef2b3dd08605725fa2822,200,"{""alfworld"": 100, ""webshop"": 50, ""gaia"": 50}",Full / 200,"[""output/agenterrorbench-gpt-4o-v2/metrics.json"", ""output/agenterrorbench-gpt-4o-v2/per_example.csv"", ""output/agenterrorbench-gpt-4o-v2/report.md""]",True,scored_failures_zero,True,失败输出保留在完整计分分母并按零分计；不是删掉失败后的成功子集,scored_run,R006
output/agenterrorbench-gemini-3.1-smoke,output/agenterrorbench-gemini-3.1-smoke/metrics.json,a74630a61aa32564a44f42b47565888278c9631ebedf415f8733d7eeb7354573,smoke / direct,direct,1,0,gemini-3.1-pro-preview,,0.0,{},gemini-generate-content,https://api.sophnet.com/v1beta/models/gemini-3.1-pro-preview:generateContent,1,,,,5,600.0,agenterrorbench-direct-v2-lossless-string-table,,agenterrorbench-direct-v2-lossless-string-table,explicit_subset,,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,2026-07-24T00:07:29+08:00,metrics.run.started_at (API run / imported-prediction scoring start),116.852746,True,{},"{""model"": ""gemini-3.1-pro-preview"", ""temperature"": 0.0, ""provider"": ""gemini-generate-content"", ""endpoint"": ""https://api.sophnet.com/v1beta/models/gemini-3.1-pro-preview:generateContent"", ""timeout"": 600.0, ""max_retries"": 5, ""workers"": 1, ""prompt_versions"": {""direct"": ""agenterrorbench-direct-v2-lossless-string-table"", ""two_stage"": ""agentdebug-two-stage-v2-lossless-string-table""}, ""selection"": {""trajectory_ids"": [""Llama3.3-70B-Turbo_012_memory_b001_t00_e03-21a3a421""], ""limit"": null, ""cohort"": ""explicit_subset""}}","{""gaia"": {""step_exact"": 0, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 1}}",LLM API,LLM API,LLM API,0,1,0.0,0,1,0.0,0,1,0.0,6ea4a9b3a45f0ff818ac6b95a807a4dcf87ce0f6be776678a28a45298b2e80f1,8dbb79e9c8635dca2537300ad3379b0ec60083ade9694cf46d7e73dd423fdce7,1,"{""gaia"": 1}",Small diagnostics / 1,"[""output/agenterrorbench-gemini-3.1-smoke/metrics.json"", ""output/agenterrorbench-gemini-3.1-smoke/per_example.csv"", ""output/agenterrorbench-gemini-3.1-smoke/report.md""]",True,complete_scored,True,小样本/诊断；不代表完整GAIA-50,scored_run,R007
output/agenterrorbench-gemini-3.1-smoke,output/agenterrorbench-gemini-3.1-smoke/metrics.json,a74630a61aa32564a44f42b47565888278c9631ebedf415f8733d7eeb7354573,smoke / two_stage,two_stage,1,0,gemini-3.1-pro-preview,,0.0,{},gemini-generate-content,https://api.sophnet.com/v1beta/models/gemini-3.1-pro-preview:generateContent,1,,,,5,600.0,agentdebug-two-stage-v2-lossless-string-table,,agentdebug-two-stage-v2-lossless-string-table,explicit_subset,,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,2026-07-24T00:07:29+08:00,metrics.run.started_at (API run / imported-prediction scoring start),116.852746,True,{},"{""model"": ""gemini-3.1-pro-preview"", ""temperature"": 0.0, ""provider"": ""gemini-generate-content"", ""endpoint"": ""https://api.sophnet.com/v1beta/models/gemini-3.1-pro-preview:generateContent"", ""timeout"": 600.0, ""max_retries"": 5, ""workers"": 1, ""prompt_versions"": {""direct"": ""agenterrorbench-direct-v2-lossless-string-table"", ""two_stage"": ""agentdebug-two-stage-v2-lossless-string-table""}, ""selection"": {""trajectory_ids"": [""Llama3.3-70B-Turbo_012_memory_b001_t00_e03-21a3a421""], ""limit"": null, ""cohort"": ""explicit_subset""}}","{""gaia"": {""step_exact"": 0, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 1}}",LLM API,LLM API,LLM API,0,1,0.0,0,1,0.0,0,1,0.0,6ea4a9b3a45f0ff818ac6b95a807a4dcf87ce0f6be776678a28a45298b2e80f1,8dbb79e9c8635dca2537300ad3379b0ec60083ade9694cf46d7e73dd423fdce7,1,"{""gaia"": 1}",Small diagnostics / 1,"[""output/agenterrorbench-gemini-3.1-smoke/metrics.json"", ""output/agenterrorbench-gemini-3.1-smoke/per_example.csv"", ""output/agenterrorbench-gemini-3.1-smoke/report.md""]",True,complete_scored,True,小样本/诊断；不代表完整GAIA-50,scored_run,R008
output/agenterrorbench-gemini-3.1-largest-smoke,output/agenterrorbench-gemini-3.1-largest-smoke/metrics.json,6ac55153f2b51a0a9d75444cb1881ecfe23ef0ecfb80f9bdf7f1479dffe5fac1,largest-smoke / direct,direct,1,1,gemini-3.1-pro-preview,,0.0,{},gemini-generate-content,https://api.sophnet.com/v1beta/models/gemini-3.1-pro-preview:generateContent,1,,,,5,600.0,agenterrorbench-direct-v2-lossless-string-table,,agenterrorbench-direct-v2-lossless-string-table,explicit_subset,,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,2026-07-24T00:11:15+08:00,metrics.run.started_at (API run / imported-prediction scoring start),38.245774,True,{},"{""model"": ""gemini-3.1-pro-preview"", ""temperature"": 0.0, ""provider"": ""gemini-generate-content"", ""endpoint"": ""https://api.sophnet.com/v1beta/models/gemini-3.1-pro-preview:generateContent"", ""timeout"": 600.0, ""max_retries"": 5, ""workers"": 1, ""prompt_versions"": {""direct"": ""agenterrorbench-direct-v2-lossless-string-table"", ""two_stage"": ""agentdebug-two-stage-v2-lossless-string-table""}, ""selection"": {""trajectory_ids"": [""Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0""], ""limit"": null, ""cohort"": ""explicit_subset""}}","{""gaia"": {""step_exact"": 0, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 1}}",LLM API,LLM API,LLM API,0,1,0.0,0,1,0.0,0,1,0.0,dc8189fad94d190dda312aa26eaa92fd9156bedea5439817c7596d85f622bea8,daed6177e85c57d3434b5677281dc929ae927797a6bfcb375b8a40534434b9ce,1,"{""gaia"": 1}",Small diagnostics / 1,"[""output/agenterrorbench-gemini-3.1-largest-smoke/metrics.json"", ""output/agenterrorbench-gemini-3.1-largest-smoke/per_example.csv"", ""output/agenterrorbench-gemini-3.1-largest-smoke/report.md""]",True,scored_failures_zero,True,小样本/诊断；不代表完整GAIA-50；失败输出保留在完整计分分母并按零分计；不是删掉失败后的成功子集,scored_run,R009
output/agenterrorbench-gemini-3.1-largest-smoke-v3,output/agenterrorbench-gemini-3.1-largest-smoke-v3/metrics.json,5f1a2f80d59d10303a2e1318acdfd345e2b9783932eb87aa90317f758b1cc4c0,largest-smoke-v3 / direct,direct,1,0,gemini-3.1-pro-preview,,0.0,{},gemini-generate-content,https://api.sophnet.com/v1beta/models/gemini-3.1-pro-preview:generateContent,1,,,,5,600.0,agenterrorbench-direct-v3-lossless-chunk-table,,agenterrorbench-direct-v3-lossless-chunk-table,explicit_subset,,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,2026-07-24T00:30:54+08:00,metrics.run.started_at (API run / imported-prediction scoring start),82.792767,True,{},"{""model"": ""gemini-3.1-pro-preview"", ""temperature"": 0.0, ""provider"": ""gemini-generate-content"", ""endpoint"": ""https://api.sophnet.com/v1beta/models/gemini-3.1-pro-preview:generateContent"", ""timeout"": 600.0, ""max_retries"": 5, ""workers"": 1, ""prompt_versions"": {""direct"": ""agenterrorbench-direct-v3-lossless-chunk-table"", ""two_stage"": ""agentdebug-two-stage-v3-lossless-chunk-table""}, ""selection"": {""trajectory_ids"": [""Llama3.3-70B-Turbo_001_memory_b000_t00_e00-7743eba0""], ""limit"": null, ""cohort"": ""explicit_subset""}}","{""gaia"": {""step_exact"": 0, ""step_module_exact"": 0, ""all_correct"": 0, ""n"": 1}}",LLM API,LLM API,LLM API,0,1,0.0,0,1,0.0,0,1,0.0,dc8189fad94d190dda312aa26eaa92fd9156bedea5439817c7596d85f622bea8,90f4f6d16a8caaeb6afcf5d539f76039037b711265398d5b0d83f1ab77bc2d26,1,"{""gaia"": 1}",Small diagnostics / 1,"[""output/agenterrorbench-gemini-3.1-largest-smoke-v3/metrics.json"", ""output/agenterrorbench-gemini-3.1-largest-smoke-v3/per_example.csv"", ""output/agenterrorbench-gemini-3.1-largest-smoke-v3/report.md""]",True,complete_scored,True,小样本/诊断；不代表完整GAIA-50,scored_run,R010
