id,name,recorded_at,group,n,method_family,execution_backend,transport,model,method,step_exact,step_module_exact,all_correct,step_exact_denominator,step_module_exact_denominator,all_correct_denominator,failed_outputs,eligible,status,run_kind,case_set_sha256,metrics_path,api_config_id,detailed_config_id,api_config,detailed_config,api_metadata
R001,gpt-4o-smoke / direct,2026-07-23T22:57:03+08:00,Small diagnostics / 1,1,LLM API,LLM API,LLM API,gpt-4o,direct,0,0,0,1,1,1,1,True,scored_failures_zero,scored_run,7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1,output/agenterrorbench-gpt-4o-smoke/metrics.json,a872b8e4e6,21c9546dfe,"{""case_set_sha256"": ""7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": null, ""max_http_attempts"": null, ""max_output_tokens"": null, ""metric_denominators"": [1, 1, 1], ""model"": ""gpt-4o"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": ""not_recorded"", ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 300.0, ""transport"": ""LLM API"", ""workers"": 1}","{""case_set_sha256"": ""7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": null, ""live_stages"": ""not_recorded"", ""max_http_attempts"": null, ""max_output_tokens"": null, ""method"": ""direct"", ""metric_denominators"": [1, 1, 1], ""model"": ""gpt-4o"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": ""not_recorded"", ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 300.0, ""transport"": ""LLM API"", ""transport_policy_version"": ""not_recorded"", ""upstream_evidence"": ""not_recorded"", ""workers"": 1}","{""live_stages"": ""not_recorded"", ""provider_settings"": {}, ""run"": {""retry_failures"": false}, ""same_case_frozen_upstream_proven"": false, ""sources"": {""metrics"": {""path"": ""output/agenterrorbench-gpt-4o-smoke/metrics.json"", ""sha256"": ""f692c99a628b56a701c6dc687cdc7e971d49d1665db16024e2d133e18a85bc2c""}}, ""upstream_evidence"": ""not_recorded""}"
R002,gpt-4o-smoke / two_stage,2026-07-23T22:57:03+08:00,Small diagnostics / 1,1,LLM API,LLM API,LLM API,gpt-4o,two_stage,1,0,0,1,1,1,0,True,complete_scored,scored_run,7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1,output/agenterrorbench-gpt-4o-smoke/metrics.json,a872b8e4e6,76add57550,"{""case_set_sha256"": ""7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": null, ""max_http_attempts"": null, ""max_output_tokens"": null, ""metric_denominators"": [1, 1, 1], ""model"": ""gpt-4o"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": ""not_recorded"", ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 300.0, ""transport"": ""LLM API"", ""workers"": 1}","{""case_set_sha256"": ""7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": null, ""live_stages"": ""not_recorded"", ""max_http_attempts"": null, ""max_output_tokens"": null, ""method"": ""two_stage"", ""metric_denominators"": [1, 1, 1], ""model"": ""gpt-4o"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": ""not_recorded"", ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 300.0, ""transport"": ""LLM API"", ""transport_policy_version"": ""not_recorded"", ""upstream_evidence"": ""not_recorded"", ""workers"": 1}","{""live_stages"": ""not_recorded"", ""provider_settings"": {}, ""run"": {""retry_failures"": false}, ""same_case_frozen_upstream_proven"": false, ""sources"": {""metrics"": {""path"": ""output/agenterrorbench-gpt-4o-smoke/metrics.json"", ""sha256"": ""f692c99a628b56a701c6dc687cdc7e971d49d1665db16024e2d133e18a85bc2c""}}, ""upstream_evidence"": ""not_recorded""}"
R003,gpt-4o-smoke-v2 / direct,2026-07-23T23:09:11+08:00,Small diagnostics / 1,1,LLM API,LLM API,LLM API,gpt-4o,direct,0,0,0,1,1,1,1,True,scored_failures_zero,scored_run,7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1,output/agenterrorbench-gpt-4o-smoke-v2/metrics.json,54280adef5,efd711cded,"{""case_set_sha256"": ""7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""max_http_attempts"": null, ""max_output_tokens"": null, ""metric_denominators"": [1, 1, 1], ""model"": ""gpt-4o"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 300.0, ""transport"": ""LLM API"", ""workers"": 1}","{""case_set_sha256"": ""7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""live_stages"": ""not_recorded"", ""max_http_attempts"": null, ""max_output_tokens"": null, ""method"": ""direct"", ""metric_denominators"": [1, 1, 1], ""model"": ""gpt-4o"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 300.0, ""transport"": ""LLM API"", ""transport_policy_version"": ""not_recorded"", ""upstream_evidence"": ""not_recorded"", ""workers"": 1}","{""live_stages"": ""not_recorded"", ""provider_settings"": {}, ""run"": {""retry_backoff"": 2.0, ""retry_failures"": false}, ""same_case_frozen_upstream_proven"": false, ""sources"": {""metrics"": {""path"": ""output/agenterrorbench-gpt-4o-smoke-v2/metrics.json"", ""sha256"": ""4e15767c26359353d6c530aa2ca03103831dfed386530a72febf3e845431dc59""}}, ""upstream_evidence"": ""not_recorded""}"
R004,gpt-4o-smoke-v2 / two_stage,2026-07-23T23:09:11+08:00,Small diagnostics / 1,1,LLM API,LLM API,LLM API,gpt-4o,two_stage,0,0,0,1,1,1,1,True,scored_failures_zero,scored_run,7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1,output/agenterrorbench-gpt-4o-smoke-v2/metrics.json,54280adef5,f2fb0dd324,"{""case_set_sha256"": ""7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""max_http_attempts"": null, ""max_output_tokens"": null, ""metric_denominators"": [1, 1, 1], ""model"": ""gpt-4o"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 300.0, ""transport"": ""LLM API"", ""workers"": 1}","{""case_set_sha256"": ""7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""live_stages"": ""not_recorded"", ""max_http_attempts"": null, ""max_output_tokens"": null, ""method"": ""two_stage"", ""metric_denominators"": [1, 1, 1], ""model"": ""gpt-4o"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 300.0, ""transport"": ""LLM API"", ""transport_policy_version"": ""not_recorded"", ""upstream_evidence"": ""not_recorded"", ""workers"": 1}","{""live_stages"": ""not_recorded"", ""provider_settings"": {}, ""run"": {""retry_backoff"": 2.0, ""retry_failures"": false}, ""same_case_frozen_upstream_proven"": false, ""sources"": {""metrics"": {""path"": ""output/agenterrorbench-gpt-4o-smoke-v2/metrics.json"", ""sha256"": ""4e15767c26359353d6c530aa2ca03103831dfed386530a72febf3e845431dc59""}}, ""upstream_evidence"": ""not_recorded""}"
R005,gpt-4o-v2 / direct,2026-07-23T23:12:00+08:00,Full / 200,200,LLM API,LLM API,LLM API,gpt-4o,direct,2,0,0,200,200,170,177,True,scored_failures_zero,scored_run,84d2ecd29f6f3200b9f208f7abc5a70e6940f77eff400137d0260714e6f33813,output/agenterrorbench-gpt-4o-v2/metrics.json,91acf9ff7e,3a036398ff,"{""case_set_sha256"": ""84d2ecd29f6f3200b9f208f7abc5a70e6940f77eff400137d0260714e6f33813"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""max_http_attempts"": null, ""max_output_tokens"": null, ""metric_denominators"": [200, 200, 170], ""model"": ""gpt-4o"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 300.0, ""transport"": ""LLM API"", ""workers"": 1}","{""case_set_sha256"": ""84d2ecd29f6f3200b9f208f7abc5a70e6940f77eff400137d0260714e6f33813"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""live_stages"": ""not_recorded"", ""max_http_attempts"": null, ""max_output_tokens"": null, ""method"": ""direct"", ""metric_denominators"": [200, 200, 170], ""model"": ""gpt-4o"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 300.0, ""transport"": ""LLM API"", ""transport_policy_version"": ""not_recorded"", ""upstream_evidence"": ""not_recorded"", ""workers"": 1}","{""live_stages"": ""not_recorded"", ""provider_settings"": {}, ""run"": {""retry_backoff"": 2.0, ""retry_failures"": false}, ""same_case_frozen_upstream_proven"": false, ""sources"": {""metrics"": {""path"": ""output/agenterrorbench-gpt-4o-v2/metrics.json"", ""sha256"": ""6e97e39897cb5b1dedc55e97ab22021122daf70b5f2bbe65a61c6d09996e379a""}}, ""upstream_evidence"": ""not_recorded""}"
R006,gpt-4o-v2 / two_stage,2026-07-23T23:12:00+08:00,Full / 200,200,LLM API,LLM API,LLM API,gpt-4o,two_stage,3,0,0,200,200,170,185,True,scored_failures_zero,scored_run,84d2ecd29f6f3200b9f208f7abc5a70e6940f77eff400137d0260714e6f33813,output/agenterrorbench-gpt-4o-v2/metrics.json,91acf9ff7e,ff3b44611c,"{""case_set_sha256"": ""84d2ecd29f6f3200b9f208f7abc5a70e6940f77eff400137d0260714e6f33813"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""max_http_attempts"": null, ""max_output_tokens"": null, ""metric_denominators"": [200, 200, 170], ""model"": ""gpt-4o"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 300.0, ""transport"": ""LLM API"", ""workers"": 1}","{""case_set_sha256"": ""84d2ecd29f6f3200b9f208f7abc5a70e6940f77eff400137d0260714e6f33813"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""live_stages"": ""not_recorded"", ""max_http_attempts"": null, ""max_output_tokens"": null, ""method"": ""two_stage"", ""metric_denominators"": [200, 200, 170], ""model"": ""gpt-4o"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 300.0, ""transport"": ""LLM API"", ""transport_policy_version"": ""not_recorded"", ""upstream_evidence"": ""not_recorded"", ""workers"": 1}","{""live_stages"": ""not_recorded"", ""provider_settings"": {}, ""run"": {""retry_backoff"": 2.0, ""retry_failures"": false}, ""same_case_frozen_upstream_proven"": false, ""sources"": {""metrics"": {""path"": ""output/agenterrorbench-gpt-4o-v2/metrics.json"", ""sha256"": ""6e97e39897cb5b1dedc55e97ab22021122daf70b5f2bbe65a61c6d09996e379a""}}, ""upstream_evidence"": ""not_recorded""}"
R007,smoke / direct,2026-07-24T00:07:29+08:00,Small diagnostics / 1,1,LLM API,LLM API,LLM API,gemini-3.1-pro-preview,direct,0,0,0,1,1,1,0,True,complete_scored,scored_run,6ea4a9b3a45f0ff818ac6b95a807a4dcf87ce0f6be776678a28a45298b2e80f1,output/agenterrorbench-gemini-3.1-smoke/metrics.json,38349de006,7837daf279,"{""case_set_sha256"": ""6ea4a9b3a45f0ff818ac6b95a807a4dcf87ce0f6be776678a28a45298b2e80f1"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""max_http_attempts"": null, ""max_output_tokens"": null, ""metric_denominators"": [1, 1, 1], ""model"": ""gemini-3.1-pro-preview"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 600.0, ""transport"": ""LLM API"", ""workers"": 1}","{""case_set_sha256"": ""6ea4a9b3a45f0ff818ac6b95a807a4dcf87ce0f6be776678a28a45298b2e80f1"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""live_stages"": ""not_recorded"", ""max_http_attempts"": null, ""max_output_tokens"": null, ""method"": ""direct"", ""metric_denominators"": [1, 1, 1], ""model"": ""gemini-3.1-pro-preview"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 600.0, ""transport"": ""LLM API"", ""transport_policy_version"": ""not_recorded"", ""upstream_evidence"": ""not_recorded"", ""workers"": 1}","{""live_stages"": ""not_recorded"", ""provider_settings"": {}, ""run"": {""retry_backoff"": 2.0, ""retry_failures"": false}, ""same_case_frozen_upstream_proven"": false, ""sources"": {""metrics"": {""path"": ""output/agenterrorbench-gemini-3.1-smoke/metrics.json"", ""sha256"": ""a74630a61aa32564a44f42b47565888278c9631ebedf415f8733d7eeb7354573""}}, ""upstream_evidence"": ""not_recorded""}"
R008,smoke / two_stage,2026-07-24T00:07:29+08:00,Small diagnostics / 1,1,LLM API,LLM API,LLM API,gemini-3.1-pro-preview,two_stage,0,0,0,1,1,1,0,True,complete_scored,scored_run,6ea4a9b3a45f0ff818ac6b95a807a4dcf87ce0f6be776678a28a45298b2e80f1,output/agenterrorbench-gemini-3.1-smoke/metrics.json,38349de006,1e353d8b4d,"{""case_set_sha256"": ""6ea4a9b3a45f0ff818ac6b95a807a4dcf87ce0f6be776678a28a45298b2e80f1"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""max_http_attempts"": null, ""max_output_tokens"": null, ""metric_denominators"": [1, 1, 1], ""model"": ""gemini-3.1-pro-preview"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 600.0, ""transport"": ""LLM API"", ""workers"": 1}","{""case_set_sha256"": ""6ea4a9b3a45f0ff818ac6b95a807a4dcf87ce0f6be776678a28a45298b2e80f1"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""live_stages"": ""not_recorded"", ""max_http_attempts"": null, ""max_output_tokens"": null, ""method"": ""two_stage"", ""metric_denominators"": [1, 1, 1], ""model"": ""gemini-3.1-pro-preview"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 600.0, ""transport"": ""LLM API"", ""transport_policy_version"": ""not_recorded"", ""upstream_evidence"": ""not_recorded"", ""workers"": 1}","{""live_stages"": ""not_recorded"", ""provider_settings"": {}, ""run"": {""retry_backoff"": 2.0, ""retry_failures"": false}, ""same_case_frozen_upstream_proven"": false, ""sources"": {""metrics"": {""path"": ""output/agenterrorbench-gemini-3.1-smoke/metrics.json"", ""sha256"": ""a74630a61aa32564a44f42b47565888278c9631ebedf415f8733d7eeb7354573""}}, ""upstream_evidence"": ""not_recorded""}"
R009,largest-smoke / direct,2026-07-24T00:11:15+08:00,Small diagnostics / 1,1,LLM API,LLM API,LLM API,gemini-3.1-pro-preview,direct,0,0,0,1,1,1,1,True,scored_failures_zero,scored_run,dc8189fad94d190dda312aa26eaa92fd9156bedea5439817c7596d85f622bea8,output/agenterrorbench-gemini-3.1-largest-smoke/metrics.json,371ed5a537,d38a346639,"{""case_set_sha256"": ""dc8189fad94d190dda312aa26eaa92fd9156bedea5439817c7596d85f622bea8"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""max_http_attempts"": null, ""max_output_tokens"": null, ""metric_denominators"": [1, 1, 1], ""model"": ""gemini-3.1-pro-preview"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 600.0, ""transport"": ""LLM API"", ""workers"": 1}","{""case_set_sha256"": ""dc8189fad94d190dda312aa26eaa92fd9156bedea5439817c7596d85f622bea8"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""live_stages"": ""not_recorded"", ""max_http_attempts"": null, ""max_output_tokens"": null, ""method"": ""direct"", ""metric_denominators"": [1, 1, 1], ""model"": ""gemini-3.1-pro-preview"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 600.0, ""transport"": ""LLM API"", ""transport_policy_version"": ""not_recorded"", ""upstream_evidence"": ""not_recorded"", ""workers"": 1}","{""live_stages"": ""not_recorded"", ""provider_settings"": {}, ""run"": {""retry_backoff"": 2.0, ""retry_failures"": false}, ""same_case_frozen_upstream_proven"": false, ""sources"": {""metrics"": {""path"": ""output/agenterrorbench-gemini-3.1-largest-smoke/metrics.json"", ""sha256"": ""6ac55153f2b51a0a9d75444cb1881ecfe23ef0ecfb80f9bdf7f1479dffe5fac1""}}, ""upstream_evidence"": ""not_recorded""}"
R010,largest-smoke-v3 / direct,2026-07-24T00:30:54+08:00,Small diagnostics / 1,1,LLM API,LLM API,LLM API,gemini-3.1-pro-preview,direct,0,0,0,1,1,1,0,True,complete_scored,scored_run,dc8189fad94d190dda312aa26eaa92fd9156bedea5439817c7596d85f622bea8,output/agenterrorbench-gemini-3.1-largest-smoke-v3/metrics.json,371ed5a537,d38a346639,"{""case_set_sha256"": ""dc8189fad94d190dda312aa26eaa92fd9156bedea5439817c7596d85f622bea8"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""max_http_attempts"": null, ""max_output_tokens"": null, ""metric_denominators"": [1, 1, 1], ""model"": ""gemini-3.1-pro-preview"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 600.0, ""transport"": ""LLM API"", ""workers"": 1}","{""case_set_sha256"": ""dc8189fad94d190dda312aa26eaa92fd9156bedea5439817c7596d85f622bea8"", ""dataset_sha256"": ""fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11"", ""legacy_max_retries"": 5, ""live_stages"": ""not_recorded"", ""max_http_attempts"": null, ""max_output_tokens"": null, ""method"": ""direct"", ""metric_denominators"": [1, 1, 1], ""model"": ""gemini-3.1-pro-preview"", ""reasoning_effort"": null, ""request_body_mode"": ""not_recorded"", ""retry_backoff"": 2.0, ""stage_models"": {}, ""temperature"": 0.0, ""thinking_mode"": ""not_recorded"", ""timeout_seconds"": 600.0, ""transport"": ""LLM API"", ""transport_policy_version"": ""not_recorded"", ""upstream_evidence"": ""not_recorded"", ""workers"": 1}","{""live_stages"": ""not_recorded"", ""provider_settings"": {}, ""run"": {""retry_backoff"": 2.0, ""retry_failures"": false}, ""same_case_frozen_upstream_proven"": false, ""sources"": {""metrics"": {""path"": ""output/agenterrorbench-gemini-3.1-largest-smoke-v3/metrics.json"", ""sha256"": ""5f1a2f80d59d10303a2e1318acdfd345e2b9783932eb87aa90317f758b1cc4c0""}}, ""upstream_evidence"": ""not_recorded""}"
