group,n,dataset_sha256,case_set_sha256,llm_api_runs,llm_api_records,codex_sdk_family_runs,codex_sdk_family_records,codex_app_server_runs,codex_host_agent_runs
Full / 200,200,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,84d2ecd29f6f3200b9f208f7abc5a70e6940f77eff400137d0260714e6f33813,2,4,0,0,0,0
Full / 150,150,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,92070149e4fdb555b5e10c801a73395c2fd2aed99343378a9ed74bf5e03f51f4,0,0,1,1,0,1
GAIA-50,50,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,ffd8b7d9ea5f75db522a3ab8ecf24cb449d716690c0cac10517503025de4ded4,2,2,67,67,2,65
GAIA-smoke-30,30,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,500a41b7e4632f6a4ff3760214d83fdef26cb42b6dd5ff500b9648b6bea4e8df,0,0,14,14,0,14
Mixed-30 / smoke-v1,30,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,a54247a7793acebc47092a753c454796673a9f0bfbad929e2d71aba87ffbb0de,2,2,0,0,0,0
Mixed-30 / smoke-v1,30,,a54247a7793acebc47092a753c454796673a9f0bfbad929e2d71aba87ffbb0de,0,0,1,1,0,1
Mixed-30 / tuning-v1,30,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,0defb39f888f8e00ffc7279addd235558b584bb7ff10fac6d62eac68bb56d6f1,18,18,15,15,0,15
Small diagnostics / 10,10,,28a3480e7d20c393200a060699a5fe395e8a21f338f9f0277bf5326cbbfd1d24,1,1,0,0,0,0
Small diagnostics / 9,9,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,ba7f8e604c93d834f4018e96cf3659d688513a547f5d19c716c292175afd5dc4,0,0,1,1,0,1
Small diagnostics / 8,8,,70d15690646b2f6b41bedcfdecaeff9f656966116ec14fb8ae25842eb9bb524c,5,5,0,0,0,0
Small diagnostics / 5,5,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,01c397cc0bce2ceb631d0ce37506174fb486c852fc1d33cd1bed5e47a721b5f9,2,2,0,0,0,0
Small diagnostics / 3,3,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,8068c52eb3c4d0cdb54c69b46a32e12241fdc0c04aba57fcd0701f0fcbddd494,12,12,0,0,0,0
Small diagnostics / 3,3,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,b9b30e840192e1515abfc30d27cfed49849491c10cc6ff5873f580d2bd889cc7,58,58,0,0,0,0
Small diagnostics / 1,1,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,6c4b4bf679559b28170a7b605b95792daf9fea17aee7067af4fa11bde05d8b33,1,1,0,0,0,0
Small diagnostics / 1,1,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,6ea4a9b3a45f0ff818ac6b95a807a4dcf87ce0f6be776678a28a45298b2e80f1,1,2,0,0,0,0
Small diagnostics / 1,1,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,7380b45786a04e1e405b694ffd1dee1f7cd210ca8bf0ef30a78fc400076bbce1,3,5,0,0,0,0
Small diagnostics / 1,1,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,dc8189fad94d190dda312aa26eaa92fd9156bedea5439817c7596d85f622bea8,3,3,0,0,0,0
