id,name,recorded_at,method_family,execution_backend,transport,model,reasoning_effort,stage_models,group,n,temperature,workers,max_semantic_attempts,max_http_attempts,legacy_max_retries,max_output_tokens,timeout_seconds,protocol,dataset_sha256,case_set_sha256,environment_counts,run_dir,status,eligible,run_kind,fresh_end_to_end,failed_outputs,csv_verified,step_exact,step_exact_denominator,step_module_exact,step_module_exact_denominator,all_correct,all_correct_denominator,semantic_parent,metrics_path,metrics_sha256,per_example_sha256
R108,v1,2026-08-13T19:08:40+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-terra,medium,{},Mixed-30 / tuning-v1,30,,1,,,,,,agentdebug.codex-agent-judge.v1,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,0defb39f888f8e00ffc7279addd235558b584bb7ff10fac6d62eac68bb56d6f1,"{""alfworld"": 10, ""gaia"": 10, ""webshop"": 10}",output/agenterrorbench-codex-gpt-5.6-terra-tuning-v1-agent-judge-v1,complete_scored,True,scored_run,True,0,True,5,30,1,30,0,25,,output/agenterrorbench-codex-gpt-5.6-terra-tuning-v1-agent-judge-v1/scored/metrics.json,18fec8abc02378b504376b0c442fd3fc1eb88fb22f07e8cffd56e157e19baeb7,580930fe61f3adbecbe4856352809a9bcaa28a717b264b3bb6d5f4bc230bcdec
R109,v2_2,2026-08-13T19:52:18+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-terra,medium,{},Small diagnostics / 9,9,,1,,,,,,agentdebug.codex-agent-judge.v2.2,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,ba7f8e604c93d834f4018e96cf3659d688513a547f5d19c716c292175afd5dc4,"{""alfworld"": 3, ""gaia"": 3, ""webshop"": 3}",output/agenterrorbench-codex-gpt-5.6-terra-tuning-v1-gate3x3-agent-judge-v2_2,complete_scored,True,scored_run,True,0,True,1,9,0,9,0,7,,output/agenterrorbench-codex-gpt-5.6-terra-tuning-v1-gate3x3-agent-judge-v2_2/scored/metrics.json,0def05b188410f74abc30ebdce6d0b074d720c81e41dfe6826ea12f961f80971,214fae1c8711264383e87cc3be0f7d6ba7ec19d9b9253182e8f5776e9e08402d
R110,luna-v1,2026-08-13T21:43:20+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},Mixed-30 / tuning-v1,30,,4,2,,,,,luna-v1,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,0defb39f888f8e00ffc7279addd235558b584bb7ff10fac6d62eac68bb56d6f1,"{""alfworld"": 10, ""gaia"": 10, ""webshop"": 10}",output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v1-case30,complete_scored,True,scored_run,True,0,True,5,30,1,30,1,25,,output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v1-case30/scored/metrics.json,6dc9ec98feaa9c21d18b7575d6e2a10756c9ea08020ab69e9d8b953c3421f242,d8358f95b617c9adfe8aaeb811ade681692307aa94ff1ca8ce2f1d757b7a0079
R111,luna-v2,2026-08-13T22:38:01+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},Mixed-30 / tuning-v1,30,,4,2,,,,,luna-v2,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,0defb39f888f8e00ffc7279addd235558b584bb7ff10fac6d62eac68bb56d6f1,"{""alfworld"": 10, ""gaia"": 10, ""webshop"": 10}",output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v2-case30,complete_scored,True,scored_run,True,0,True,6,30,2,30,1,25,,output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v2-case30/scored/metrics.json,4c8127b35b5ae10fbb1890da58d9aec147a17893f99a80b3cd8588585538ad16,ecfef7dd6c072e925496183f1d4f039af92bbd9989805638d186ab0c9ed49b70
R112,luna-v3,2026-08-13T22:55:24+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},Mixed-30 / tuning-v1,30,,4,2,,,,,luna-v3,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,0defb39f888f8e00ffc7279addd235558b584bb7ff10fac6d62eac68bb56d6f1,"{""alfworld"": 10, ""gaia"": 10, ""webshop"": 10}",output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v3-case30,complete_scored,True,scored_run,True,0,True,8,30,3,30,2,25,,output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v3-case30/scored/metrics.json,8df802601c2ed11957b9ee43fd27141585591a8592d85b7d75d055f21f9bbedb,7f1b73d8f7a2008543a268bcd73d7a55dc904c7df95f319774dce036b183946e
R113,luna-v4,2026-08-13T23:15:39+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},Mixed-30 / tuning-v1,30,,4,2,,,,,luna-v4,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,0defb39f888f8e00ffc7279addd235558b584bb7ff10fac6d62eac68bb56d6f1,"{""alfworld"": 10, ""gaia"": 10, ""webshop"": 10}",output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v4-case30,complete_scored,True,scored_run,True,0,True,8,30,3,30,2,25,,output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v4-case30/scored/metrics.json,0cf458061263bbedbfbadbee1d8d959b19d4b746e7bab1dbbf9f7be8a2218668,c4972649eb04415ec3fd378dbdcd306ba4a8c364b5e6dc9bbabbcd92f5df0148
R114,luna-v5,2026-08-13T23:34:20+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},Mixed-30 / tuning-v1,30,,4,2,,,,,luna-v5,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,0defb39f888f8e00ffc7279addd235558b584bb7ff10fac6d62eac68bb56d6f1,"{""alfworld"": 10, ""gaia"": 10, ""webshop"": 10}",output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v5-case30,complete_scored,True,scored_run,True,0,True,6,30,2,30,1,25,,output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v5-case30/scored/metrics.json,45881ee1c6d58cba5378d228a13c4e186fd95779b3e54b6cb346f266037c2f3d,dc324c34fbcaaafc4ceca954554f0f5a3686a3ceffe169506c226748be34589b
R115,luna-v6,2026-08-13T23:56:42+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},Mixed-30 / tuning-v1,30,,4,2,,,,,luna-v6,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,0defb39f888f8e00ffc7279addd235558b584bb7ff10fac6d62eac68bb56d6f1,"{""alfworld"": 10, ""gaia"": 10, ""webshop"": 10}",output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v6-case30,complete_scored,True,scored_run,True,0,True,7,30,2,30,2,25,,output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v6-case30/scored/metrics.json,52e3d7367b80334a31904f48615d7b922fd6778dfdfcc11de06a52d18f894159,899500c573b9b09f6a7523dcbf06aa1c6eb21a17e4d3eebd86b6845306dc2935
R122,luna-v3-serial-v2,2026-08-14T12:14:43+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},Mixed-30 / tuning-v1,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-v3-serial-v2,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,0defb39f888f8e00ffc7279addd235558b584bb7ff10fac6d62eac68bb56d6f1,"{""alfworld"": 10, ""gaia"": 10, ""webshop"": 10}",output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v3-serial-v2-case30,complete_scored,True,scored_run,True,0,True,7,30,3,30,2,25,,output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-v3-serial-v2-case30/scored/metrics.json,ee3d178e2136279073342d0baba656b656505f6b3e56e1b90aa46eb0756ea8e5,a85c9995aa85c24b3544fdeed64a63c5600d3b868cb0a76038ca0cc58431312d
R124,luna-clean-debate-v1,2026-08-14T13:23:57+08:00,Codex SDK,host-orchestrated Codex agent/subagent,Codex agent/subagent,gpt-5.6-luna,medium,{},Mixed-30 / tuning-v1,30,,4,2,,,,,agentdebug.codex-agent-judge.luna-clean-debate-v1,fa78de42eb1de06e3566555bd8c68f09deaa6930f2b07ac8937ded858cc6ac11,0defb39f888f8e00ffc7279addd235558b584bb7ff10fac6d62eac68bb56d6f1,"{""alfworld"": 10, ""gaia"": 10, ""webshop"": 10}",output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-clean-debate-v1-case30,complete_scored,True,scored_run,True,0,True,8,30,3,30,2,25,,output/agenterrorbench-codex-gpt-5.6-luna-tuning-v1-agent-judge-luna-clean-debate-v1-case30/scored/metrics.json,d13b6bc2652501ae52c0bea6efd95d86a9ac18cb6977d868d3d9c46a157f531b,a7fc9ebd5caad88abc4b6b30ae8dbe0fb968828d43d769a42457253817c582e5
